Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
1078,2,1,quart,976,g,1,1994-01-31,2006-11-30
1079,1,1,CUP,244,g,1,1999-03-22,2006-11-30
1079,2,1,FL OZ,30.5,g,1,1998-01-15,2010-01-05
1079,3,1,quart,976,g,1,1994-01-31,2006-11-30
1080,1,1,cup,245,g,1,2013-12-23,2013-12-23
1080,2,1,quart,980,g,1,2013-12-23,2013-12-23
1081,1,1,cup,246,g,1,2013-12-23,2013-12-23
1081,2,1,quart,984,g,1,2013-12-23,2013-12-23
1082,1,1,CUP,244,g,1,1999-03-22,2006-11-30
1082,2,1,FL OZ,30.5,g,1,1998-01-15,2010-01-05
1082,3,1,quart,976,g,1,1994-01-31,2006-11-30
1083,1,1,cup,245,g,1,2013-12-23,2013-12-23
1083,2,1,quart,980,g,1,2013-12-23,2013-12-23
1084,1,1,CUP,246,g,1,2001-07-04,2006-11-30
1084,2,1,quart,984,g,1,2002-09-06,2006-11-30
1085,1,1,CUP,245,g,1,1999-03-22,2006-11-30
1085,2,1,FL OZ,30.6,g,1,1998-01-15,2010-01-05
1085,3,1,quart,980,g,1,1994-01-31,2006-11-30
1086,1,1,cup,245,g,1,2013-12-23,2013-12-23
1086,2,1,fl oz,30.6,g,1,2013-12-23,2013-12-23
1086,3,1,quart,980,g,1,2013-12-23,2013-12-23
1087,1,1,CUP,246,g,1,2001-07-04,2006-11-30
1087,2,1,quart,984,g,1,2002-09-06,2006-11-30
1088,1,1,CUP,245,g,1,1999-03-22,2006-11-30
1088,2,1,FL OZ,30.6,g,1,1998-01-15,2010-01-05
1088,3,1,quart,980,g,1,1994-01-31,2006-11-30
1089,1,1,cup,244,g,1,2013-12-23,2013-12-23
1089,2,1,fl oz,30.5,g,1,2013-12-23,2013-12-23
1089,3,1,quart,976,g,1,2013-12-23,2013-12-23
1090,1,0.25,CUP,32,g,1,1994-01-31,2015-01-07
1090,2,1,CUP,128,g,1,2007-11-28,2015-01-07
