Food category code,Descriptor,Abbreviated descriptor,Cn code,Gtin,Product code,Brand owner name,Brand name,FNS Material Number,Source code,Date added,Last modified,Discontinued date,Form of food,Fdc id,Gpc product code
1,"Milk, chocolate beverage, hot cocoa, homemade","MILK,CHOC BEV,HOT COCOA,HOMEMADE",1105,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk, goat, fluid, with added vitamin D","MILK,GOAT,FLUID,W/ ADDED VITAMIN D",1106,,,,,,1,09/30/1996,01/07/2015,,,,
1,"Milk, indian buffalo, fluid","MILK,INDIAN BUFFALO,FLUID",1108,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk, sheep, fluid","MILK,SHEEP,FLUID",1109,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Milk shakes, thick chocolate","MILK SHAKES,THICK CHOC",1110,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Milk shakes, thick vanilla","MILK SHAKES,THICK VANILLA",1111,,,,,,1,01/31/1994,11/30/2006,,,,
1,"Whey, acid, fluid","WHEY,ACID,FLUID",1112,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Whey, acid, dried","WHEY,ACID,DRIED",1113,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Whey, sweet, fluid","WHEY,SWEET,FLUID",1114,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Whey, sweet, dried","WHEY,SWEET,DRIED",1115,,,,,,1,12/23/2013,12/23/2013,,,,
1,"Yogurt, plain, whole milk","YOGURT,PLN,WHL MILK",1116,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Yogurt, plain, low fat","YOGURT,PLN,LOFAT",1117,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Yogurt, plain, skim milk","YOGURT,PLN,SKIM MILK.",1118,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Yogurt, vanilla, low fat.","YOGURT,VANILLA,LOFAT.",1119,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Yogurt, fruit, low fat,9 g protein/8 oz","YOGURT,FRUIT,LOFAT,9 G PROTEIN/8 OZ",1120,,,,,,1,01/31/1994,02/13/2019,,,,
1,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OUNCE",1121,,,,,,1,01/31/1994,02/13/2019,,,,
