Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
15172,2,3,oz,85,g,1,12/23/2013,12/23/2013
15173,1,2,large,31,g,1,12/23/2013,12/23/2013
15174,1,3,oz,85,g,1,08/29/1997,11/30/2006
15175,1,1,"oz, boneless",28.35,g,1,12/23/2013,12/23/2013
15175,2,3,oz,85,g,1,12/23/2013,12/23/2013
15176,1,3,oz,85,g,1,12/23/2013,12/23/2013
15177,1,3,oz,85,g,1,12/23/2013,12/23/2013
15178,1,3,oz,85,g,1,12/23/2013,12/23/2013
15179,1,1,oz,28.35,g,1,12/23/2013,12/23/2013
15179,2,3,oz,85,g,1,12/23/2013,12/23/2013
15180,1,3,oz,85,g,1,08/29/1997,12/26/2013
15180,2,1,can,369,g,1,01/31/1994,12/26/2013
15181,1,3,oz,85,g,1,08/29/1997,12/26/2013
15181,2,1,can,454,g,1,01/31/1994,12/26/2013
15182,1,3,oz,85,g,1,12/23/2013,12/23/2013
15182,2,1,can,369,g,1,12/23/2013,12/23/2013
15183,1,3,oz,85,g,1,08/29/1997,12/26/2013
15183,2,1,can,171,g,1,01/31/1994,12/26/2013
15184,1,3,oz,85,g,1,08/29/1997,12/26/2013
15184,2,1,can,165,g,1,01/31/1994,12/26/2013
15185,1,3,oz,85,g,1,08/29/1997,12/26/2013
15185,2,1,can,178,g,1,01/31/1994,12/26/2013
15186,1,3,oz,85,g,1,08/29/1997,12/26/2013
15186,2,1,can,172,g,1,01/31/1994,12/26/2013
15187,1,1,fillet,62,g,1,12/23/2013,12/23/2013
15187,2,3,oz,85,g,1,12/23/2013,12/23/2013
15188,1,1,fillet,124,g,1,12/23/2013,12/23/2013
15188,2,3,oz,85,g,1,12/23/2013,12/23/2013
15189,1,1,fillet,117,g,1,12/23/2013,12/23/2013
15189,2,3,oz,85,g,1,12/23/2013,12/23/2013
15190,1,1,fillet,90,g,1,12/23/2013,12/23/2013
15190,2,3,oz,85,g,1,12/23/2013,12/23/2013
15192,1,1,fillet,90,g,1,12/23/2013,12/23/2013
15192,2,3,oz,85,g,1,12/23/2013,12/23/2013
